Column1;id;name;x;y;z;file;type;property
0;1;Adour;-158;4351;5;Adour.dat;plastic-paper;polystirene-cardboard
1;2;AvonBeth;-316;5126;5;AvonBath.dat;plastic-paper;polystirene-cardboard
2;3;Bann;-676;5532;5;Bann.dat;plastic-paper;polystirene-cardboard
3;4;Barrow;-692;5206;5;Barrow.dat;plastic-paper;polystirene-cardboard
4;5;BlackMunster;-75;5203;5;BlackwaterMunster.dat;plastic-paper;polystirene-cardboard
5;6;Charente;-344;4568;5;Charente.dat;plastic-paper;polystirene-cardboard
6;7;Dordogne;-116;4565;5;Dordogne.dat;plastic-paper;polystirene-cardboard
7;8;Douro;-874;4111;5;Douro.dat;plastic-paper;polystirene-cardboard
8;9;Drammmen;1058;5939;5;Drammen.dat;plastic-paper;polystirene-cardboard
9;10;Eden;-357;5476;5;Eden.dat;plastic-paper;polystirene-cardboard
10;11;Elbe;875;5399;5;Elbe.dat;plastic-paper;polystirene-cardboard
11;12;Ems;658;5358;5;Ems.dat;plastic-paper;polystirene-cardboard
12;13;Erne;-832;5457;5;Erne.dat;plastic-paper;polystirene-cardboard
13;14;Escault;375;5192;5;Escault.dat;plastic-paper;polystirene-cardboard
14;15;Garonne;-117;4559;5;Garonne.dat;plastic-paper;polystirene-cardboard
15;16;Glomma;1082;5916;5;Glomma.dat;plastic-paper;polystirene-cardboard
16;17;GreatOuse;42;529;5;GreatOuse.dat;plastic-paper;polystirene-cardboard
17;18;Guadalquivir;-65;3676;5;Guadalquivir.dat;plastic-paper;polystirene-cardboard
18;19;Guadiana;-74;3709;5;Guadiana.dat;plastic-paper;polystirene-cardboard
19;20;Lee;-823;5169;5;Lee.dat;plastic-paper;polystirene-cardboard
20;21;Leyre;-188;4461;5;Leyre.dat;plastic-paper;polystirene-cardboard
21;22;liffey;-608;5333;5;Liffey.dat;plastic-paper;polystirene-cardboard
22;23;Loire;-424;4718;5;Loire.dat;plastic-paper;polystirene-cardboard
23;24;Mersey;-307;5369;5;Mersey.dat;plastic-paper;polystirene-cardboard
24;25;Meuse;392;520;5;Meuse.dat;plastic-paper;polystirene-cardboard
25;26;Minho;-90;4164;5;Minho.dat;plastic-paper;polystirene-cardboard
26;27;Mondego;-90;4017;5;Mondego.dat;plastic-paper;polystirene-cardboard
27;28;Moy;-916;5432;5;Moy.dat;plastic-paper;polystirene-cardboard
28;29;Nene;33;5291;5;Nene.dat;plastic-paper;polystirene-cardboard
29;30;Rhine;407;5207;5;Rhine.dat;plastic-paper;polystirene-cardboard
30;31;Sado;-899;3835;5;Sado.dat;plastic-paper;polystirene-cardboard
31;32;Seine;0;4943;5;Seine.dat;plastic-paper;polystirene-cardboard
32;33;Severn;-307;5142;5;Severn.dat;plastic-paper;polystirene-cardboard
33;34;Sevre-Noirtaise;-126;4624;5;Shannon.dat;plastic-paper;polystirene-cardboard
34;35;Shannon;-983;5258;5;Soivre-Noirtaise.dat;plastic-paper;polystirene-cardboard
35;36;Somme;149;5056;5;Somme.dat;plastic-paper;polystirene-cardboard
36;37;Spey;-306;5775;5;Spey.dat;plastic-paper;polystirene-cardboard
37;38;Tagus;-934;3858;5;Tagus.dat;plastic-paper;polystirene-cardboard
38;39;Tay;-267;5648;5;Tay.dat;plastic-paper;polystirene-cardboard
39;40;Tees;-107;5472;5;Tees.dat;plastic-paper;polystirene-cardboard
40;41;Thames;92;5149;5;Thames.dat;plastic-paper;polystirene-cardboard
41;42;TheHaven;25;5292;5;TheHaven.dat;plastic-paper;polystirene-cardboard
42;43;Trent;18;5357;5;Trent.dat;plastic-paper;polystirene-cardboard
43;44;Tweed;-192;558;5;Tweed.dat;plastic-paper;polystirene-cardboard
44;45;Tyne;-134;550;5;Tyne.dat;plastic-paper;polystirene-cardboard
45;46;Ulla;-90;4242;5;Ulla.dat;plastic-paper;polystirene-cardboard
46;47;Vilaine;-257;4742;5;Vilaine.dat;plastic-paper;polystirene-cardboard
47;48;Weser;833;5375;5;Weser.dat;plastic-paper;polystirene-cardboard
0;49;Adour;-158;4351;5;Adour.dat;plastic-paper;polystirene-cardboard
1;50;AvonBeth;-316;5126;5;AvonBath.dat;plastic-paper;polystirene-cardboard
2;51;Bann;-676;5532;5;Bann.dat;plastic-paper;polystirene-cardboard
3;52;Barrow;-692;5206;5;Barrow.dat;plastic-paper;polystirene-cardboard
4;53;BlackMunster;-75;5203;5;BlackwaterMunster.dat;plastic-paper;polystirene-cardboard
5;6;Charente;-344;4568;5;Charente.dat;plastic-paper;polystirene-cardboard
6;7;Dordogne;-116;4565;5;Dordogne.dat;plastic-paper;polystirene-cardboard
7;8;Douro;-874;4111;5;Douro.dat;plastic-paper;polystirene-cardboard
8;9;Drammmen;1058;5939;5;Drammen.dat;plastic-paper;polystirene-cardboard
9;10;Eden;-357;5476;5;Eden.dat;plastic-paper;polystirene-cardboard
10;11;Elbe;875;5399;5;Elbe.dat;plastic-paper;polystirene-cardboard
11;12;Ems;658;5358;5;Ems.dat;plastic-paper;polystirene-cardboard
12;13;Erne;-832;5457;5;Erne.dat;plastic-paper;polystirene-cardboard
13;14;Escault;375;5192;5;Escault.dat;plastic-paper;polystirene-cardboard
14;15;Garonne;-117;4559;5;Garonne.dat;plastic-paper;polystirene-cardboard
15;16;Glomma;1082;5916;5;Glomma.dat;plastic-paper;polystirene-cardboard
16;17;GreatOuse;42;529;5;GreatOuse.dat;plastic-paper;polystirene-cardboard
17;18;Guadalquivir;-65;3676;5;Guadalquivir.dat;plastic-paper;polystirene-cardboard
18;19;Guadiana;-74;3709;5;Guadiana.dat;plastic-paper;polystirene-cardboard
19;20;Lee;-823;5169;5;Lee.dat;plastic-paper;polystirene-cardboard
20;21;Leyre;-188;4461;5;Leyre.dat;plastic-paper;polystirene-cardboard
21;22;liffey;-608;5333;5;Liffey.dat;plastic-paper;polystirene-cardboard
22;23;Loire;-424;4718;5;Loire.dat;plastic-paper;polystirene-cardboard
23;24;Mersey;-307;5369;5;Mersey.dat;plastic-paper;polystirene-cardboard
24;25;Meuse;392;520;5;Meuse.dat;plastic-paper;polystirene-cardboard
25;26;Minho;-90;4164;5;Minho.dat;plastic-paper;polystirene-cardboard
26;27;Mondego;-90;4017;5;Mondego.dat;plastic-paper;polystirene-cardboard
27;28;Moy;-916;5432;5;Moy.dat;plastic-paper;polystirene-cardboard
28;29;Nene;33;5291;5;Nene.dat;plastic-paper;polystirene-cardboard
29;30;Rhine;407;5207;5;Rhine.dat;plastic-paper;polystirene-cardboard
30;31;Sado;-899;3835;5;Sado.dat;plastic-paper;polystirene-cardboard
31;32;Seine;0;4943;5;Seine.dat;plastic-paper;polystirene-cardboard
32;33;Severn;-307;5142;5;Severn.dat;plastic-paper;polystirene-cardboard
33;34;Sevre-Noirtaise;-126;4624;5;Shannon.dat;plastic-paper;polystirene-cardboard
34;35;Shannon;-983;5258;5;Soivre-Noirtaise.dat;plastic-paper;polystirene-cardboard
35;36;Somme;149;5056;5;Somme.dat;plastic-paper;polystirene-cardboard
36;37;Spey;-306;5775;5;Spey.dat;plastic-paper;polystirene-cardboard
37;38;Tagus;-934;3858;5;Tagus.dat;plastic-paper;polystirene-cardboard
38;39;Tay;-267;5648;5;Tay.dat;plastic-paper;polystirene-cardboard
39;40;Tees;-107;5472;5;Tees.dat;plastic-paper;polystirene-cardboard
40;41;Thames;92;5149;5;Thames.dat;plastic-paper;polystirene-cardboard
41;42;TheHaven;25;5292;5;TheHaven.dat;plastic-paper;polystirene-cardboard
42;43;Trent;18;5357;5;Trent.dat;plastic-paper;polystirene-cardboard
43;44;Tweed;-192;558;5;Tweed.dat;plastic-paper;polystirene-cardboard
44;45;Tyne;-134;550;5;Tyne.dat;plastic-paper;polystirene-cardboard
45;46;Ulla;-90;4242;5;Ulla.dat;plastic-paper;polystirene-cardboard
46;47;Vilaine;-257;4742;5;Vilaine.dat;plastic-paper;polystirene-cardboard
47;48;Weser;833;5375;5;Weser.dat;plastic-paper;polystirene-cardboard
