id,name,x,y,z,,rate,type,property,T_Thousands_of_tonnes
1,ESGAR,-1.8210511300000007,37.18159230499998,0.5,,0.03331,base,base ,4231.111111111111
2,ESACA,0.5471014490000243,40.57460031199997,0.5,,0.03331,base,base ,538.8
3,ESSCR,0.6006451360000256,40.61738902899998,0.5,,0.03331,base,base ,5.583333333333333
4,ESVLG,1.7350286500000038,41.21662641400002,0.5,,0.03331,base,base ,118.15384615384616
5,ESVCC,1.8659059699999716,41.236730826999974,0.5,,0.03331,base,base ,35.5
6,ESPAL,3.1285732640000106,41.84465227700002,0.5,,0.03331,base,base ,79.16666666666667
7,ESBRM,-2.716700003000028,43.41733866300001,0.5,,0.03331,base,base ,129125
8,ESLPA,-15.425053827,28.136104930999977,0.5,,0.03331,base,base ,8489.394736842105
9,ESSCT,-16.239274901999977,28.481896354000014,0.5,,0.03331,base,base ,6107.4473684210525
10,PTFNC,-16.908996581999986,32.645507812000005,0.5,,0.03331,base,base ,529.8571428571429
11,PTCNL,-16.734313965000013,32.737121581999986,0.5,,0.03331,base,base ,502.07142857142856
12,PTPXO,-16.314514159999987,33.06390380900001,0.5,,0.03331,base,base ,11.5
13,ESMLN,-2.937622069999975,35.28387451200001,0.5,,0.03331,base,base ,297.05263157894734
14,ESCEU,-5.313293456999986,35.89031982400002,0.5,,0.03331,base,base ,765.0
15,ESALG,-5.431617500000016,36.12801350000001,0.5,,0.03331,base,base ,31056.42105263158
16,ESCAD,-6.281494140999996,36.532470703,0.5,,0.03331,base,base ,1944.0263157894738
17,ESAGP,-4.417785644999981,36.711914062000005,0.5,,0.03331,base,base ,1430.1052631578948
18,ESMOT,-3.529479980000019,36.72369384799998,0.5,,0.03331,base,base ,1054.84375
19,ESLEI,-2.475402831999986,36.831909180000025,0.5,,0.03331,base,base ,2801.7894736842104
20,PTVDP,-25.14129638700001,36.94049072299998,0.5,,0.03331,base,base ,20.5
21,PTFAO,-7.933410644999981,37.011474609000004,0.5,,0.03331,base,base ,146.0
22,PTPRM,-8.533081055000025,37.137329102000024,0.5,,0.03331,base,base ,0.0
23,ESHUV,-6.957885741999974,37.249511719,0.5,,0.03331,base,base ,11516.894736842105
24,ESSVQ,-6.022521972999982,37.36627197299998,0.5,,0.03331,base,base ,2081.5526315789475
25,ESCAR,-0.9844090419999816,37.59758612600001,0.5,,0.03331,base,base ,12672.736842105263
26,PTPDL,-25.657592772999976,37.741699219,0.5,,0.03331,base,base ,680.1
27,PTSIE,-8.866767999999979,37.953835000000026,0.5,,0.03331,base,base ,14376.28947368421
28,ESALC,-0.4898071289999848,38.334472656,0.5,,0.03331,base,base ,1315.5263157894738
29,PTSET,-8.888793944999975,38.520690918000014,0.5,,0.03331,base,base ,3144.7105263157896
30,PTHOR,-28.624389647999976,38.528076172,0.5,,0.03331,base,base ,47.5
31,PTCDP,-28.32012939499998,38.531494140999996,0.5,,0.03331,base,base ,46.5
32,PTVEL,-28.210021972999982,38.678527831999986,0.5,,0.03331,base,base ,39.0
33,PTLIS,-9.105339500000014,38.72701799999999,0.5,,0.03331,base,base ,5215.578947368421
34,PTPRV,-27.060913086000028,38.72869873000002,0.5,,0.03331,base,base ,270.5
35,PTPRG,-27.97052001999998,39.052307128999985,0.5,,0.03331,base,base ,13.0
36,PTLAJ,-31.170410156000003,39.379516602000024,0.5,,0.03331,base,base ,12.5
37,ESVLC,-0.3207644760000221,39.44920791300001,0.5,,0.03331,base,base ,22624.07894736842
38,ESPMI,2.631349407000016,39.56786890799998,0.5,,0.03331,base,base ,4423.421052631579
